size,merge sort,selection sort
0,0.000001,0.000001
50,0.000034,0.000019
100,0.000089,0.000071
150,0.000157,0.000177
200,0.000249,0.000369
250,0.000373,0.000652
300,0.000525,0.001061
350,0.000709,0.001614
400,0.000918,0.002335
450,0.001246,0.003324
500,0.001575,0.004316
550,0.001797,0.005019
600,0.001955,0.005652
650,0.002102,0.006344
700,0.002284,0.007177
750,0.002492,0.008157
800,0.002703,0.009240
850,0.002915,0.010436
900,0.003153,0.011833
950,0.003370,0.013304
1000,0.003603,0.014906
1050,0.003830,0.016650
1100,0.004068,0.018561
1150,0.004316,0.020644
1200,0.004580,0.022990
1250,0.004859,0.025464
1300,0.005147,0.028130
1350,0.005445,0.031002
1400,0.005757,0.034080
1450,0.006076,0.037374
1500,0.006407,0.040899
1550,0.006752,0.044671
1600,0.007108,0.048681
1650,0.007479,0.052950
1700,0.007876,0.057487
1750,0.008271,0.062279
1800,0.008678,0.067353
1850,0.009096,0.072708
1900,0.009530,0.078361
1950,0.009976,0.084312
2000,0.010437,0.090565
2050,0.010903,0.097138
2100,0.011395,0.104045
2150,0.011892,0.111315
2200,0.012411,0.118908
2250,0.012935,0.126824
2300,0.013465,0.135085
2350,0.014008,0.143726
2400,0.014567,0.152739
2450,0.015141,0.162119
2500,0.015719,0.171879
2550,0.016310,0.182034
2600,0.016916,0.192625
2650,0.017546,0.203597
2700,0.018173,0.214979
2750,0.018814,0.226783
2800,0.019474,0.239038
2850,0.020147,0.251723
2900,0.020827,0.264847
2950,0.021519,0.278432
3000,0.022221,0.292474
3050,0.022936,0.306989
3100,0.023667,0.321983
3150,0.024413,0.337485
3200,0.025172,0.353462
3250,0.025943,0.369957
3300,0.026737,0.386964
3350,0.027625,0.404963
3400,0.028441,0.422999
3450,0.029280,0.441574
3500,0.030112,0.460684
3550,0.030955,0.480333
3600,0.031817,0.500576
3650,0.032688,0.521356
3700,0.033666,0.542843
3750,0.034565,0.564764
3800,0.035474,0.587268
3850,0.036401,0.610373
3900,0.037339,0.634087
3950,0.038292,0.658401
4000,0.039289,0.683343
4050,0.040268,0.708904
4100,0.041273,0.735261
4150,0.042279,0.762101
4200,0.043309,0.789599
4250,0.044347,0.817751
4300,0.045398,0.846565
4350,0.046460,0.876073
4400,0.047540,0.906242
4450,0.048651,0.937277
4500,0.049787,0.968847
4550,0.050895,1.001097
4600,0.052010,1.034064
4650,0.053138,1.067767
4700,0.054291,1.102186
4750,0.055501,1.137478
4800,0.056678,1.173361
4850,0.057870,1.210006
4900,0.059073,1.247391
4950,0.060295,1.285571
5000,0.061533,1.324527
